Data Source,,,,,,,,,,,,,,,,,
Last Updated Date,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country Name,Indicator Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,GDP (current US$),97933391976,94684584163,1.17075E+11,1.46566E+11,1.6259E+11,2.07416E+11,2.43982E+11,2.33822E+11,2.87018E+11,3.35415E+11,3.6966E+11,3.80192E+11,3.78196E+11,2.9152E+11,2.82463E+11,
Comoros,GDP (current US$),246737679.5,317562269.4,368143118.7,380372892.6,406111873.5,462453582.9,523134897,524157261,530493353.2,586281766.8,570865941.2,618663921.9,647720707.1,565689764.6,616654490.4,
Cabo Verde,GDP (current US$),620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513934037,1789333749,1711817182,1664310770,1864824081,1751888562,1850951315,1858121723,1574288668,1617467436,
Costa Rica,GDP (current US$),16504795453,17195867540,18529767934,19952156475,22600431878,26743874287,30612932803,30562361123,37268635287,42262697840,46473128286,49745088112,50656002896,54840103850,57435507212,
Caribbean small states,GDP (current US$),34949444323,37500825974,41178984265,46656114032,52416498943,58371461971,66596542818,55887477076,60945499584,66197591877,70647852493,71284814648,71392784817,69516216247,66707362091,
Cyprus,GDP (current US$),11618269231,14576896942,17422375000,18703146375,20403713461,24077470572,27839460964,25942622951,25562251656,27427161523,25041372222,24084572491,23359294149,19676167240,20047013274,
Czech Republic,GDP (current US$),81910771994,99627140274,1.19162E+11,1.36281E+11,1.55464E+11,1.89227E+11,2.35719E+11,2.0618E+11,2.07478E+11,2.27948E+11,2.07376E+11,2.09402E+11,2.07818E+11,1.8683E+11,1.95305E+11,
Germany,GDP (current US$),2.07914E+12,2.50573E+12,2.81925E+12,2.86141E+12,3.00245E+12,3.43995E+12,3.75237E+12,3.41801E+12,3.41709E+12,3.7577E+12,3.54398E+12,3.75251E+12,3.89061E+12,3.37561E+12,3.4778E+12,
Dominica,GDP (current US$),337695740.7,350091222.2,374771481.5,370370370.4,390370370.4,421375851.9,458190185.2,489074333.3,493824407.4,501025303.3,485997988.1,501979277,523666347.4,535095846.3,581484031.9,
Denmark,GDP (current US$),1.78635E+11,2.18096E+11,2.51373E+11,2.64467E+11,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.01298E+11,3.069E+11,
Dominican Republic,GDP (current US$),26571620979,21277165886,22039232610,34004033804,35952845583,44169678153,48288967303,48376555306,53954579004,57746684847,60613645121,61965942057,65231032303,68102618092,71583553488,
Algeria,GDP (current US$),56760288974,67863829880,85324998814,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00019E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65874E+11,1.59049E+11,
East Asia & Pacific (excluding high income),GDP (current US$),2.05587E+12,2.32784E+12,2.69813E+12,3.12426E+12,3.76369E+12,4.75841E+12,6.02092E+12,6.53155E+12,7.87933E+12,9.6307E+12,1.07442E+13,1.18608E+13,1.27541E+13,1.32682E+13,1.35124E+13,
Early-demographic dividend,GDP (current US$),3.14422E+12,3.51615E+12,4.09011E+12,4.76762E+12,5.4623E+12,6.48882E+12,7.3175E+12,7.04591E+12,8.51432E+12,9.56493E+12,9.97441E+12,1.01607E+13,1.05299E+13,1.0195E+13,1.0402E+13,
East Asia & Pacific,GDP (current US$),7.83707E+12,8.61738E+12,9.66371E+12,1.03113E+13,1.09397E+13,1.2237E+13,1.41341E+13,1.45645E+13,1.69388E+13,1.96387E+13,2.10191E+13,2.12625E+13,2.19E+13,2.17669E+13,2.24804E+13,
Europe & Central Asia (excluding high income),GDP (current US$),8.20431E+11,1.03751E+12,1.3676E+12,1.72646E+12,2.11432E+12,2.72765E+12,3.37233E+12,2.65525E+12,3.15626E+12,3.89187E+12,4.11101E+12,4.36924E+12,4.07885E+12,3.12118E+12,2.99182E+12,
